complaint_text,category,subcategory,department
Co-workers have created offensive social media groups targeting me. I work at CloudNine IT Solutions in the shipping industry. This is happening in our Jaipur branch/office/factory. The toxicity has led to high employee turnover in our department.,Workplace Harassment,Character defamation,Local Police Station
I face discrimination because I support a different political party than management. I work at Goodlife Healthcare in the oil and gas industry. I have been working as a warehouse manager for 12 years.,Discrimination,Gender discrimination,National Commission for Women
"The company calculated my gratuity based on basic pay only, not total emoluments. I have been working as a nurse for 25 years. I am a contractual worker hoping for permanent employment.",Social Security Concerns,Retirement benefit disputes,Employees Provident Fund Organisation
"Workers are not provided with safety helmets, gloves or boots in our factory. I recently relocated to this city for this job.",Unsafe Working Conditions,Lack of safety equipment,Directorate General of Factory Advice Service and Labour Institutes
I was made to sign blank papers/resignation letters when joining. I work at RedBrick Consultancy in the construction industry. This is happening in our Ludhiana branch/office/factory.,Labor Rights Violations,No service benefits,Ministry of Labour and Employment - Industrial Relations Division
Toilet facilities are extremely dirty and unusable in our workplace. I work at Desert Oil Exploration in the oil and gas industry. I have been working as a customer service representative for 20 years. This is happening in our Guwahati branch/office/factory.,Unsafe Working Conditions,No proper ventilation,Directorate General of Factory Advice Service and Labour Institutes
My supervisor constantly shouts and uses abusive language towards me.,Workplace Harassment,Physical intimidation,National Commission for Scheduled Castes/Tribes
There are no emergency evacuation drills or protocols in place. I work at CopperTech Engineering in the healthcare industry. I have been working as a business analyst for 4 years. This is happening in our Gwalior branch/office/factory.,Unsafe Working Conditions,Excessive work hours,Ministry of Labour and Employment - Industrial Relations Division
False rumors about my character are being spread in the workplace. I work at Sunrise Industries in the real estate industry. I have been working as a medical representative for 3 years. The harasser is protected due to their relationship with senior management.,Workplace Harassment,Cyberbullying at workplace,Cyber Crime Cell and Ministry of Labour
The company monitors personal communications and break time activities excessively. I work at Alpine Adventures in the real estate industry. I have been working as a factory worker for 4 years.,Workplace Harassment,Cyberbullying at workplace,Cyber Crime Cell and Ministry of Labour
"As an LGBTQ+ individual, I face daily harassment and isolation at work. I have been working as a network administrator for 12 years. This is happening in our Amritsar branch/office/factory.",Discrimination,Age discrimination,Ministry of Labour and Employment - Industrial Relations Division
